id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1385368145116938245,Thu Apr 22 23:01:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @KelleyKkregle: I love this graphic for BC patients taking hormone therapy for side effects mgmt. #effcancer #bcsm https://t.co/JOVlxOzs…,RT KelleyKkregle I love graphic BC patients taking hormone therapy side effects mgmt effcancer bcsm https //t.co/JOVlxOzs…,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5,en,0,5,itsnot_pink,,"effcancer, bcsm",KelleyKkregle,"Washington, DC",
1385367816644165633,Thu Apr 22 23:00:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Opinions about #breastcancer and a #rawfooddiet 🥗are mixed. Oncologists say there’s no scientific evidence that sho… https://t.co/qJCZgaJMvs,Opinions breastcancer rawfooddiet 🥗are mixed Oncologists say ’ scientific evidence sho… https //t.co/qJCZgaJMvs,"Sentiment(polarity=0.0, subjectivity=0.25)",0.0,0.25,en,0,0,bloghellohealth,True,"breastcancer, rawfooddiet",,New york,
1385367670942535687,Thu Apr 22 22:59:26 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DrLoveResearch: 📣Breast cancer treatments may have an impact on how the brain processes information and behavior. The research team nee…,RT DrLoveResearch 📣Breast cancer treatments may impact brain processes information behavior The research team nee…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,DrSGraff,,,DrLoveResearch,"Leawood, KS",
1385367604613681155,Thu Apr 22 22:59:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @gina_218: another infusion down (glamorous right)! my hair is growing back &amp; I am officially cleared to start my rotations in June 🤩 af…,RT gina_218 another infusion glamorous right hair growing back amp I officially cleared start rotations June 🤩 af…,"Sentiment(polarity=0.14285714285714285, subjectivity=0.26785714285714285)",0.14285714285714285,0.26785714285714285,en,0,2,CanalesOMS,,,gina_218,"El Paso, TX",
1385365666253787138,Thu Apr 22 22:51:28 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">My Favorite RT Bot</a>",RT @kevinpunie: 🎯nucleotide metabolism by 🚫 gatekeeper enzyme dUTPase ➡️uracil misincorporation during chemo-induced DNA damage ➡️ sensitis…,RT kevinpunie 🎯nucleotide metabolism 🚫 gatekeeper enzyme dUTPase ➡️uracil misincorporation chemo-induced DNA damage ➡️ sensitis…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,sl_bota,,,kevinpunie,Sri Lanka,
1385365323596144646,Thu Apr 22 22:50:06 +0000 2021,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Future Pipeline Opportunities with REM-001 https://t.co/n9Q4A9vUim #breastcancer #oncology #clinicaltrials $KTRA https://t.co/o43OykAupp,Future Pipeline Opportunities REM-001 https //t.co/n9Q4A9vUim breastcancer oncology clinicaltrials KTRA https //t.co/o43OykAupp,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,en,0,0,cmiller1225,False,"breastcancer, oncology, clinicaltrials",,Chicago Region,
1385365091772735488,Thu Apr 22 22:49:11 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PennRadiology: Great news! The @JCI_insight cover features a clinical trial led by Drs. McDonald/Carlin of https://t.co/QPEdEDOAGL. The…,RT PennRadiology Great news The JCI_insight cover features clinical trial led Drs McDonald/Carlin https //t.co/QPEdEDOAGL The…,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,en,0,3,SossongAnnmarie,False,,"PennRadiology, JCI_insight",,
1385364960281169922,Thu Apr 22 22:48:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @boeheimfan: If you are on Facebook and interested in breast cancer, please request to join ""Komen Chicago Race for the Cure"" Facebook G…",RT boeheimfan If Facebook interested breast cancer please request join `` Komen Chicago Race Cure '' Facebook G…,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5,en,0,5,Julinesa2,,,boeheimfan,,
1385364452749594626,Thu Apr 22 22:46:39 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",🎯nucleotide metabolism by 🚫 gatekeeper enzyme dUTPase ➡️uracil misincorporation during chemo-induced DNA damage ➡️… https://t.co/PCQBbhQfra,🎯nucleotide metabolism 🚫 gatekeeper enzyme dUTPase ➡️uracil misincorporation chemo-induced DNA damage ➡️… https //t.co/PCQBbhQfra,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,1,kevinpunie,False,,,"Leuven, België",
1385364172179914753,Thu Apr 22 22:45:32 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @abcdiagnosis: I hope everyone will join in! 

Share it far &amp; wide 🌍

So get involved and speak out! 

Raise your voice in #MetastaticMa…",RT abcdiagnosis I hope everyone join Share far amp wide 🌍 So get involved speak Raise voice MetastaticMa…,"Sentiment(polarity=0.0, subjectivity=0.7)",0.0,0.7,en,0,24,JuleJules,,,abcdiagnosis,,
1385363661359919110,Thu Apr 22 22:43:30 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Reading @beckershr Even insured women at high risk of #breastcancer face financial barriers to care, study finds https://t.co/RikhKddYdq",Reading beckershr Even insured women high risk breastcancer face financial barriers care study finds https //t.co/RikhKddYdq,"Sentiment(polarity=0.08, subjectivity=0.26999999999999996)",0.08,0.26999999999999996,en,0,0,RMilesMD,False,breastcancer,BeckersHR,"Boston, MA",
1385363036328796160,Thu Apr 22 22:41:01 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Regenstrief's @dahaggstrom and #OSUCOM's @GyasiSamilia suggest additional steps to screen and address financial vul… https://t.co/CpnibxPxB3,Regenstrief 's dahaggstrom OSUCOM 's GyasiSamilia suggest additional steps screen address financial vul… https //t.co/CpnibxPxB3,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,OhioStateMed,False,OSUCOM,"dahaggstrom, GyasiSamilia","Columbus, OH",
1385362437168263173,Thu Apr 22 22:38:38 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Have now tried in communities outside my city - in fact,  5 more wait lists, all of which will take my at-risk… https://t.co/wyzIlhm0fD",Have tried communities outside city fact 5 wait lists take at-risk… https //t.co/wyzIlhm0fD,"Sentiment(polarity=0.0, subjectivity=0.05)",0.0,0.05,en,0,3,TraceyGerma,False,,,,
1385361911999574021,Thu Apr 22 22:36:33 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @PennRadiology: Great news! The @JCI_insight cover features a clinical trial led by Drs. McDonald/Carlin of https://t.co/QPEdEDOAGL. The…,RT PennRadiology Great news The JCI_insight cover features clinical trial led Drs McDonald/Carlin https //t.co/QPEdEDOAGL The…,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,en,0,3,KRoseAgency,False,,"PennRadiology, JCI_insight",Ft. Lauderdale,
1385360597919830020,Thu Apr 22 22:31:19 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @boeheimfan: If you are on Facebook and interested in breast cancer, please request to join ""Komen Chicago Race for the Cure"" Facebook G…",RT boeheimfan If Facebook interested breast cancer please request join `` Komen Chicago Race Cure '' Facebook G…,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5,en,0,5,kitaribuza,,,boeheimfan,,
1385360364238409731,Thu Apr 22 22:30:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PaulaMaier3: A cancer issue they don’t talk about-cost.
This  is 2021.
Not last years bills I’m still paying, pharmacy bills, needed ap…",RT PaulaMaier3 A cancer issue ’ talk about-cost This 2021 Not last years bills I ’ still paying pharmacy bills needed ap…,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666667,en,0,3,JoJCasas,,,PaulaMaier3,The Crossroads of America,
1385360180427345925,Thu Apr 22 22:29:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @fluidigm: Mark your calendars! Drs. Hartland Jackson and Cynthia Guidos will overview the use of #masscytometry to study tissue archite…,RT fluidigm Mark calendars Drs Hartland Jackson Cynthia Guidos overview use masscytometry study tissue archite…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,EmilyReddy1,,masscytometry,fluidigm,"Toronto, Ontario",
1385359811559231493,Thu Apr 22 22:28:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thanks @thebreastofus1 for including me in your IG of black breast cancer warriors.  Happy to be able to offer a gl… https://t.co/ZOm8UysqEF,Thanks thebreastofus1 including IG black breast cancer warriors Happy able offer gl… https //t.co/ZOm8UysqEF,"Sentiment(polarity=0.33333333333333337, subjectivity=0.5645833333333333)",0.33333333333333337,0.5645833333333333,en,0,0,strongblkboobs,False,,thebreastofus1,"New York, NY",
1385359408125734914,Thu Apr 22 22:26:36 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @marleahdeank: My mom was diagnosed with #breastcancer when I was 8-years old. In 2013, I learned I carry the same #BRCA genetic mutatio…",RT marleahdeank My mom diagnosed breastcancer I 8-years old In 2013 I learned I carry BRCA genetic mutatio…,"Sentiment(polarity=0.1, subjectivity=0.2)",0.1,0.2,en,0,2,EACH_com,,"breastcancer, BRCA",marleahdeank,,
1385358609626943488,Thu Apr 22 22:23:25 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @PaulaMaier3: A cancer issue they don’t talk about-cost.
This  is 2021.
Not last years bills I’m still paying, pharmacy bills, needed ap…",RT PaulaMaier3 A cancer issue ’ talk about-cost This 2021 Not last years bills I ’ still paying pharmacy bills needed ap…,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0.0,0.06666666666666667,en,0,3,PaulaMaier3,,,PaulaMaier3,"Midwest, USA",
